Date,ACC.NS,ADANIENT.NS,ADANIPORTS.NS,AMBUJACEM.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AUROPHARMA.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJAJHLDNG.NS,BANKBARODA.NS,BANKINDIA.NS,BHARATFORG.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,CANBK.NS,CIPLA.NS,COALINDIA.NS,COLPAL.NS,CONCOR.NS,DABUR.NS,DIVISLAB.NS,DRREDDY.NS,FEDERALBNK.NS,GAIL.NS,GODREJCP.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,NTPC.NS,ONGC.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,WIPRO.NS
2015-04-27,1339.677001953125,94.44476318359375,288.9294738769531,197.83602905273438,1132.1715087890625,680.9544067382812,574.9442138671875,507.4365539550781,1493.3929443359375,131.82545471191406,1053.0020751953125,147.0078887939453,180.1890869140625,544.1404418945312,331.9282531738281,138.1245574951172,18803.79296875,63.12480163574219,62.604732513427734,586.9359130859375,159.9639892578125,808.3515625,453.3522644042969,236.55966186523438,796.3519287109375,629.7411499023438,55.24641799926758,45.41295623779297,343.4150085449219,523.0206909179688,328.6588439941406,229.4199676513672,1639.3946533203125,120.3826675415039,723.4998168945312,252.29464721679688,775.0364990234375,369.6800537109375,151.43142700195312,83.13973236083984,132.72793579101562,941.32568359375,3311.25537109375,83.3100814819336,118.31394958496094,187.3035888671875,238.03216552734375,848.36181640625,973.2059326171875,88.84004974365234
2015-04-28,1358.1051025390625,94.43753814697266,289.07110595703125,198.17990112304688,1122.7470703125,699.8343505859375,611.818359375,517.8910522460938,1497.6824951171875,131.76583862304688,1092.04833984375,149.24505615234375,184.46505737304688,560.6762084960938,340.2052307128906,142.1834716796875,19515.412109375,65.95647430419922,62.99785614013672,589.9244384765625,157.7401580810547,817.517822265625,467.2874450683594,232.65359497070312,806.882568359375,634.6981811523438,57.31928253173828,44.960723876953125,335.33807373046875,524.4679565429688,323.9328918457031,229.21461486816406,1666.6710205078125,121.58601379394531,718.44921875,272.7837219238281,779.4151611328125,365.25616455078125,148.2257843017578,83.80472564697266,133.24423217773438,940.0557250976562,3469.357666015625,85.0240478515625,117.62557983398438,185.1422882080078,242.8900146484375,846.9423828125,971.1823120117188,88.58209228515625
2015-04-29,1331.157958984375,97.83842468261719,295.4455871582031,204.84173583984375,1120.3427734375,689.7315063476562,606.40185546875,534.299072265625,1489.028076171875,138.10337829589844,1075.4998779296875,147.86834716796875,182.58363342285156,574.6522827148438,328.8296813964844,141.69515991210938,19424.451171875,65.16343688964844,62.89958572387695,587.6829223632812,157.12603759765625,815.9155883789062,463.6871032714844,229.24143981933594,806.1271362304688,629.1552734375,58.91899490356445,45.95941925048828,329.94842529296875,520.958251953125,330.14727783203125,226.61338806152344,1678.3807373046875,120.89177703857422,716.028076171875,275.5378112792969,784.5001220703125,365.3027648925781,144.09803771972656,84.86424255371094,132.02798461914062,934.2984619140625,3418.16943359375,85.19264221191406,117.14745330810547,181.8896484375,242.3551483154297,861.2739868164062,968.1845092773438,90.14653015136719
2015-04-30,1285.6488037109375,97.36186981201172,299.88409423828125,199.77011108398438,1093.560546875,697.0916137695312,608.1760864257812,549.6421508789062,1466.45166015625,142.64651489257812,1083.501953125,145.41604614257812,185.2347412109375,578.7573852539062,323.52392578125,145.29624938964844,20217.328125,65.9219970703125,61.97410583496094,593.987060546875,153.65267944335938,806.38427734375,463.3058776855469,226.18850708007812,789.0947875976562,615.7255859375,59.21189498901367,45.26220703125,321.1690673828125,519.4893188476562,327.67254638671875,225.62083435058594,1647.8145751953125,119.04045104980469,709.8922119140625,276.37237548828125,775.74267578125,361.78228759765625,141.55113220214844,82.652099609375,132.33575439453125,920.7799072265625,3381.54833984375,84.46209716796875,116.26782989501953,184.53240966796875,240.4387969970703,859.7631225585938,958.9981689453125,89.638916015625
2015-05-04,1322.3250732421875,102.18518829345703,327.8846435546875,207.42051696777344,1155.5399169921875,712.5885620117188,616.9982299804688,550.1746215820312,1571.24365234375,144.2569580078125,1089.0322265625,146.87881469726562,191.47763061523438,584.4998168945312,333.5412292480469,149.6298065185547,20405.318359375,67.55549621582031,63.54658889770508,629.1967163085938,156.63890075683594,824.838623046875,484.41339111328125,234.7637481689453,816.5662231445312,631.4988403320312,61.51008224487305,46.078765869140625,321.7950439453125,524.6563110351562,342.27850341796875,228.39320373535156,1690.7275390625,123.2522201538086,719.4093017578125,274.8284912109375,792.5984497070312,371.2540283203125,144.99826049804688,83.16191101074219,132.92153930664062,919.6510620117188,3410.5,85.6141128540039,125.58069610595703,190.65248107910156,247.03469848632812,867.9133911132812,965.9464721679688,90.06331634521484
2015-05-05,1319.4556884765625,103.31880187988281,323.6349792480469,205.61537170410156,1154.722412109375,714.4171142578125,645.6649780273438,547.7545166015625,1551.4892578125,143.5213165283203,1080.9461669921875,146.27650451660156,190.75071716308594,602.534912109375,328.5750427246094,149.6298065185547,20233.6796875,67.00382995605469,63.10432434082031,618.5496826171875,154.35157775878906,835.8096923828125,500.6782531738281,237.59226989746094,800.5640258789062,632.9125366210938,60.69895935058594,46.90160369873047,333.31951904296875,518.2155151367188,339.3573303222656,225.35842895507812,1668.014892578125,128.99134826660156,733.8516235351562,274.1190185546875,787.7489624023438,365.6007995605469,143.2637481689453,86.28730773925781,141.3061065673828,927.0453491210938,3442.53857421875,84.57449340820312,130.85867309570312,190.90927124023438,242.48887634277344,877.712158203125,980.075927734375,90.68744659423828
2015-05-06,1267.3553466796875,98.0044937133789,312.7747497558594,194.9564208984375,1129.04638671875,695.6286010742188,603.3505859375,525.92578125,1520.3717041015625,143.03915405273438,1070.93310546875,139.52197265625,178.1793975830078,570.9390258789062,331.24908447265625,140.1997528076172,19524.30859375,64.4953842163086,60.18867111206055,594.220458984375,149.56515502929688,820.6812744140625,488.1972961425781,236.2454071044922,786.0271606445312,623.751708984375,57.814964294433594,45.9656982421875,329.92181396484375,503.38043212890625,331.61724853515625,221.468017578125,1646.04541015625,127.5102310180664,716.4456787109375,260.5153503417969,756.1090087890625,358.0196533203125,139.79466247558594,82.50137329101562,134.15267944335938,883.1595458984375,3298.685302734375,81.25894927978516,125.40859985351562,188.36280822753906,236.56146240234375,858.2061767578125,958.745361328125,88.5987319946289
2015-05-07,1302.013916015625,93.81657409667969,304.8420715332031,198.91050720214844,1124.23779296875,700.1084594726562,584.99658203125,510.48577880859375,1556.1553955078125,137.1639404296875,1073.94970703125,132.03607177734375,171.5944061279297,555.9483642578125,334.1778869628906,139.5894012451172,18808.95703125,62.922218322753906,58.21487045288086,586.3287963867188,152.82669067382812,813.1780395507812,477.25518798828125,230.9475860595703,789.8731079101562,610.6383666992188,56.710941314697266,46.23578643798828,321.6880187988281,508.0915832519531,342.63201904296875,217.064208984375,1665.962890625,124.31672668457031,723.1658325195312,254.21421813964844,748.81103515625,362.10821533203125,141.63893127441406,78.54254150390625,129.88345336914062,885.5584106445312,3216.139892578125,80.0788345336914,122.40631103515625,186.32994079589844,232.5950164794922,849.7354736328125,990.7415771484375,89.56401824951172
2015-05-08,1298.9205322265625,98.79875183105469,316.4577941894531,200.45779418945312,1140.48974609375,694.3028564453125,607.7974853515625,523.505615234375,1597.696044921875,141.66729736328125,1085.8895263671875,124.85131072998047,167.489501953125,566.4188232421875,337.8282470703125,141.2068634033203,19413.21875,64.48245239257812,56.167362213134766,611.4518432617188,154.05506896972656,829.948974609375,477.3399658203125,234.2249755859375,788.7514038085938,623.2030029296875,59.166839599609375,46.36769485473633,331.008544921875,505.5732421875,344.3996276855469,224.06922912597656,1627.826171875,128.62109375,747.3340454101562,264.5630798339844,763.1714477539062,364.7066345214844,144.03216552734375,78.93266296386719,131.99819946289062,903.8182983398438,3276.903076171875,79.7978515625,120.66609191894531,192.78367614746094,233.48634338378906,861.0451049804688,983.7352905273438,89.95513153076172
2015-05-11,1344.16064453125,102.12020111083984,324.909912109375,205.01364135742188,1202.661865234375,705.5029296875,644.6717529296875,533.4762573242188,1642.3594970703125,143.3672332763672,1084.9681396484375,146.01837158203125,176.38348388671875,572.8301391601562,336.3426513671875,143.25155639648438,19867.1796875,64.71949005126953,59.38604736328125,622.0987548828125,157.5496368408203,840.7172241210938,481.5331726074219,230.9475860595703,792.7576904296875,624.923583984375,60.85667037963867,46.863914489746094,338.8904113769531,514.7781982421875,350.50238037109375,225.9630889892578,1686.9771728515625,131.90716552734375,721.8719482421875,269.98785400390625,771.8347778320312,371.3565673828125,143.35153198242188,80.08084106445312,132.94635009765625,911.7487182617188,3314.25048828125,81.45561981201172,122.0047378540039,194.13796997070312,246.05421447753906,883.1608276367188,994.9260864257812,90.1215591430664
