,ACC.NS,ADANIPORTS.NS,AMBUJACEM.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BANKBARODA.NS,BHARTIARTL.NS,BHEL.NS,BOSCHLTD.NS,BPCL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,GAIL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,LUPIN.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,PNB.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATAPOWER.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS,ZEEL.NS
GAIL.NS,8.297566178864896e-05,0.00010337545885854683,8.69618504729521e-05,5.993492619442264e-05,8.63005815130121e-05,6.520330594324092e-05,0.00014006068976968065,5.863412895417749e-05,0.00014646114758141198,8.197664168368658e-05,0.00012817534510030915,5.333303823092101e-05,6.724571060006705e-05,4.413533848934654e-05,0.00035890111947121353,9.278849836864214e-05,2.6342895045856698e-05,3.9246449181529344e-05,5.0952650484396574e-05,0.00011601853025634954,2.9580859566812037e-05,0.00011339639391465649,7.385630475579062e-05,2.3230200298553208e-05,6.44073252947247e-05,5.5756655885449426e-05,9.824986278447292e-05,5.7836035897099705e-05,8.421652806412697e-05,6.276396700395342e-05,8.40993947923527e-05,0.00012788342049275468,0.0001508388001407183,4.9972990074586215e-05,8.368019275949651e-05,0.0001252691406771321,6.336379998522156e-05,0.00011223851450354547,0.0001347800840828946,1.7941578258464383e-05,4.216648261405248e-05,7.395398797870675e-05,0.00015068298806102454,3.132629958546318e-05,7.147579585945938e-05
GRASIM.NS,0.00014549461162961273,0.00012575201706006018,0.00015216652532561552,8.321966178118327e-05,0.0001130476734152445,7.9219549667541e-05,0.0001678473858642811,9.868123324809166e-05,0.00014817214604578762,8.772738051592696e-05,9.590049435268695e-05,7.602864784644459e-05,7.115026477797532e-05,5.4627848112433226e-05,9.278849836864214e-05,0.0003010815229659798,2.2583598247521848e-05,6.373636348553474e-05,8.851829596763288e-05,0.0001333549764456408,4.557023116596243e-05,0.00010555764626550577,0.00011089037302264716,2.1538133438086985e-05,5.4908813257350484e-05,7.189776107491043e-05,0.00011046776308781902,8.44643850118869e-05,0.00010412670221058303,0.00010652847158153091,6.511953544860547e-05,8.451856692486363e-05,0.00016611188681288797,5.3032077202561174e-05,7.064956940341951e-05,0.00013904691300364207,8.737277087815966e-05,0.00012486482192269394,0.0001549511078111527,2.2130061514982876e-05,4.1213623504780385e-05,0.00015893076117225456,0.00016285386313420652,3.179626581859969e-05,0.00010137929732981258
HCLTECH.NS,2.3483962311773838e-05,3.216070676514161e-05,3.840542981907983e-05,2.744157616572917e-05,3.060837129766673e-05,2.1005067714586914e-05,2.5907289003372565e-05,2.9716399092571644e-05,4.607358441506538e-05,3.3396332351658296e-05,2.041770568693137e-05,2.812763379270286e-05,2.454058390687268e-05,1.361853613416654e-05,2.6342895045856698e-05,2.2583598247521848e-05,0.00025936826390173076,2.2380298248717928e-05,2.9433338320556707e-05,4.0831647514380014e-05,2.5259466542999956e-05,2.549182203142132e-05,2.452180209787503e-05,0.00010654707356533563,2.5625208494442976e-05,1.6040388490636672e-05,2.3281684932926077e-05,2.755532609658677e-05,3.1482470888316933e-05,2.79155860105866e-05,2.2646378276225085e-05,3.172472191629941e-05,2.554479334638847e-05,2.533149529859025e-05,3.729583242030679e-05,2.723704430496024e-05,2.9213041881749065e-05,2.3935886042570352e-05,4.52359134500245e-05,9.410133985397341e-05,9.455723803675499e-05,2.3299532464281984e-05,4.2417590277763657e-05,7.999288583628325e-05,3.711452934154862e-05
HDFCBANK.NS,6.361953062655198e-05,7.612490856381093e-05,7.389448834394399e-05,5.252387783353131e-05,7.280249831256558e-05,5.299136859399354e-05,6.04550340148123e-05,4.284380194809218e-05,7.420607064571028e-05,5.587409499272577e-05,5.9051511311340863e-05,4.268942036786258e-05,3.481862520966955e-05,3.070420346867016e-05,3.9246449181529344e-05,6.373636348553474e-05,2.2380298248717928e-05,0.00011369374716400621,5.410202880174396e-05,7.95097392695092e-05,4.329661597158028e-05,7.082519353725568e-05,9.199896072238702e-05,1.9839308067358262e-05,4.516818997320665e-05,8.465531883727746e-05,7.5325440291974e-05,3.429894293798557e-05,6.207413579382032e-05,6.55856759633912e-05,3.517011094464145e-05,4.278795630511909e-05,6.089479697054908e-05,3.17958445032881e-05,5.386549850251456e-05,7.01868599400985e-05,3.175890817036221e-05,6.219695767322554e-05,7.758315313790683e-05,2.021303859065739e-05,2.629445733496822e-05,6.644541245879375e-05,9.097871317127913e-05,2.452342324111101e-05,3.887776096090888e-05
HEROMOTOCO.NS,9.139868251375895e-05,9.671455563611207e-05,0.0001044934867307339,7.163768289539966e-05,7.397598888446925e-05,0.00013352189859754685,0.00010476357479381339,6.80362336451107e-05,9.331611432258604e-05,7.74538178665332e-05,7.958703348008468e-05,5.638572335095852e-05,5.585660408471828e-05,4.6741047639934985e-05,5.0952650484396574e-05,8.851829596763288e-05,2.9433338320556707e-05,5.410202880174396e-05,0.0002595592723312039,0.00011265113425176162,5.590689956124483e-05,8.817244624248587e-05,9.816273117670393e-05,2.656501735492495e-05,4.747668690539337e-05,6.206150629450655e-05,8.79868671477729e-05,5.749282233550845e-05,0.00010855239505332031,0.00012111686879757883,5.2513069318598086e-05,7.05291021384602e-05,0.0001013589103321516,3.9971818668791484e-05,6.284990890684388e-05,9.535007930936937e-05,5.021261907679337e-05,7.843423142368184e-05,0.00010384342805843276,3.4047876382931484e-05,3.2321569301996086e-05,8.947604972904417e-05,0.00011310054335616998,2.9114395114476147e-05,7.726846380917682e-05
HINDALCO.NS,0.00014006744182938204,0.00017571617143955474,0.0001464129040956405,7.724145924923563e-05,0.0001447014161415658,0.0001036627249360344,0.00022487470874413536,0.00010429476120653367,0.00018928833622759445,0.00010797221181219521,0.00010843106871740464,0.00010525773085783993,0.00010965678419908346,7.354170404092263e-05,0.00011601853025634954,0.0001333549764456408,4.0831647514380014e-05,7.95097392695092e-05,0.00011265113425176162,0.0005536111614878269,5.1898111574432226e-05,0.00016783868959384293,0.00011985581825964686,5.4178119805029235e-05,7.946016458068324e-05,9.068009511758268e-05,0.00015268036023329275,8.452062693474905e-05,0.00012660773882656928,0.00011999515366254182,0.00010932114110618466,0.0001456677547958077,0.00021639643634754056,7.419153823962797e-05,0.00010548432498931394,0.00020542427252818917,8.301883250773352e-05,0.00017275514436084874,0.00033993934799438823,2.8179387096874583e-05,5.0079755267589815e-05,0.0001441618276436971,0.0004530344838596062,4.813976621396331e-05,0.00010277299523737516
HINDUNILVR.NS,5.467535059855143e-05,5.101470486614062e-05,6.778290603277991e-05,6.282105666552705e-05,4.587676805965772e-05,4.826529202963524e-05,3.503840835141589e-05,4.018064503380003e-05,4.505511916778638e-05,4.6479744508661874e-05,4.922831350510757e-05,4.0073750679184e-05,2.798294844362096e-05,3.5580488339003575e-05,2.9580859566812037e-05,4.557023116596243e-05,2.5259466542999956e-05,4.329661597158028e-05,5.590689956124483e-05,5.1898111574432226e-05,0.0001771791094033524,5.058180318290827e-05,6.142692990203236e-05,2.111869051296495e-05,4.056640247746476e-05,5.33997106128862e-05,5.2720524313387496e-05,3.363323327840029e-05,5.844546375430565e-05,6.18573435847005e-05,2.5339153734379786e-05,3.9991153996607984e-05,3.731624506906474e-05,1.968191367376177e-05,4.0259425178666704e-05,5.2782874782206597e-05,3.909085367693867e-05,4.1543832256324084e-05,5.340675707260503e-05,2.5882983597627687e-05,2.6786571298031672e-05,5.4942112606361664e-05,5.828851270546549e-05,2.234188481357548e-05,3.63904435387171e-05
ICICIBANK.NS,0.00011781637561870786,0.00016344098481355638,0.00013616158581499082,8.080922456578271e-05,0.00021488303421229174,7.154826863160942e-05,0.00028680419181785597,7.893018011895609e-05,0.00016909935665856076,9.689234061169756e-05,0.00011217255698025961,8.021156161402042e-05,6.873529475769456e-05,5.294185383605927e-05,0.00011339639391465649,0.00010555764626550577,2.549182203142132e-05,7.082519353725568e-05,8.817244624248587e-05,0.00016783868959384293,5.058180318290827e-05,0.0003899108104640584,0.0001144821235758647,2.4844909236347693e-05,7.416479905992846e-05,7.532944371148815e-05,0.0001514575805340668,7.17100583971824e-05,0.0001083385773938739,0.00011290020783352566,8.780314445784601e-05,9.837083783077998e-05,0.0002887129714136594,6.877378879402363e-05,9.148881735509069e-05,0.00028375909341363465,7.145920912219383e-05,0.00013765478765552513,0.0001871764728213432,1.8686356915180994e-05,4.966128699634674e-05,0.00014103382974844887,0.00021220396805666142,2.8771204676886055e-05,9.537731831868842e-05
INDUSINDBK.NS,0.00010517210597870428,0.00011592147549072897,0.00011869016574848444,8.676111416614406e-05,0.00012997969725173057,6.930746215783317e-05,0.00012587171607752556,4.716730267702906e-05,0.00012802880770034834,8.468733973249655e-05,0.00010301371112754046,6.961925865474573e-05,6.252713214995056e-05,4.4538690825689466e-05,7.385630475579062e-05,0.00011089037302264716,2.452180209787503e-05,9.199896072238702e-05,9.816273117670393e-05,0.00011985581825964686,6.142692990203236e-05,0.0001144821235758647,0.0003087105473927122,2.6729051539325743e-05,5.417030526916163e-05,0.00011011407750647077,0.00010992470576008092,6.032414925118761e-05,0.00010737205373170032,0.00011488299090331097,4.8308627894722834e-05,6.549332518396818e-05,0.00013093538497223017,4.798510977096785e-05,7.292338121698905e-05,0.00012440567096519187,6.309199798464216e-05,0.00010748826510905329,0.00013393339657678414,2.430956189665318e-05,4.024070456266425e-05,0.00012010497207792812,0.00014626905056409822,2.7922190860446325e-05,9.349599122026175e-05
INFY.NS,3.692272920333258e-05,3.328274177203691e-05,4.524121871970698e-05,2.5496426617475475e-05,3.1163393513837895e-05,2.511033055875793e-05,3.335190377510507e-05,3.179863904043152e-05,4.198900159613702e-05,2.3474934121317142e-05,2.676935452261919e-06,2.5472059369388213e-05,1.8600600393911503e-05,2.6778848128098852e-05,2.3230200298553208e-05,2.1538133438086985e-05,0.00010654707356533563,1.9839308067358262e-05,2.656501735492495e-05,5.4178119805029235e-05,2.111869051296495e-05,2.4844909236347693e-05,2.6729051539325743e-05,0.00024995313436864644,1.673087122412632e-05,2.6922197175581652e-05,3.2128647700623944e-05,2.4170643250463475e-05,2.2365754144456037e-05,2.300096016992334e-05,2.8738763363465675e-05,2.5175877177276153e-05,3.3855609407885686e-05,1.8373210940133723e-05,3.069113635591505e-05,3.577121757951545e-05,2.651538463227994e-05,3.6416948271688344e-05,3.780878398712723e-05,9.184228270438443e-05,0.00010408364775133625,2.7866209758529784e-05,6.258206216475482e-05,7.076995858171738e-05,5.688196480957193e-05
ITC.NS,5.334502466118587e-05,7.67864196463608e-05,6.177624649636851e-05,4.6615783616776746e-05,5.137289375141743e-05,4.76374045382797e-05,7.942464399022435e-05,4.992680493488633e-05,7.075497585924569e-05,6.72821118816695e-05,7.02815685869917e-05,4.393579854540901e-05,4.221088242055911e-05,2.4921940930655718e-05,6.44073252947247e-05,5.4908813257350484e-05,2.5625208494442976e-05,4.516818997320665e-05,4.747668690539337e-05,7.946016458068324e-05,4.056640247746476e-05,7.416479905992846e-05,5.417030526916163e-05,1.673087122412632e-05,0.00023636141531923596,4.977740458129534e-05,6.253633673220404e-05,3.709663791692599e-05,7.00386728629877e-05,5.619588799755603e-05,4.0833990388630346e-05,4.8661814412570376e-05,8.476422573141283e-05,3.729656551675053e-05,4.40617903606113e-05,7.558998780765665e-05,3.0680100885835795e-05,6.509022275405412e-05,7.844370303132626e-05,2.4208579826668798e-05,2.0651096782915218e-05,5.029695817218792e-05,9.32972737958292e-05,2.3744369530286018e-05,4.930283947026932e-05
KOTAKBANK.NS,7.538125309905696e-05,9.530543123117041e-05,8.961711154887458e-05,7.317834734593493e-05,9.41269294079337e-05,5.8878602289934446e-05,7.435928304778409e-05,3.26364170722249e-05,8.312868781325104e-05,7.328236429953168e-05,7.521464789663977e-05,5.216627547629083e-05,3.823796947582285e-05,3.9692865921490143e-05,5.5756655885449426e-05,7.189776107491043e-05,1.6040388490636672e-05,8.465531883727746e-05,6.206150629450655e-05,9.068009511758268e-05,5.33997106128862e-05,7.532944371148815e-05,0.00011011407750647077,2.6922197175581652e-05,4.977740458129534e-05,0.00020939432164104828,9.045644835983864e-05,4.572900342493815e-05,7.893279916024115e-05,7.47785818016784e-05,4.229736561734929e-05,5.633668015653354e-05,7.354302310748933e-05,3.598678431265016e-05,7.106827500547617e-05,7.827615840303161e-05,5.11246648689933e-05,7.721998905241963e-05,9.005418726307205e-05,2.1539347889348617e-05,3.1431325480018017e-05,7.719829784785792e-05,0.00010308233216999819,2.2786667568240177e-05,5.557027023696412e-05
LT.NS,0.00011543504947721748,0.00013659459780862156,0.0001235676203003227,7.432590987527222e-05,0.00014287597374736176,7.904517506035553e-05,0.00018362676902058036,7.614917510894603e-05,0.00016976867455199688,9.326887846481906e-05,9.279760257514484e-05,7.131765763989505e-05,6.544655468119075e-05,4.873052124660723e-05,9.824986278447292e-05,0.00011046776308781902,2.3281684932926077e-05,7.5325440291974e-05,8.79868671477729e-05,0.00015268036023329275,5.2720524313387496e-05,0.0001514575805340668,0.00010992470576008092,3.2128647700623944e-05,6.253633673220404e-05,9.045644835983864e-05,0.0002532422452437069,4.9791062089587315e-05,0.00010719245215429763,0.00010635492182737189,6.286798759651877e-05,9.091079596795875e-05,0.00017601669142567187,5.209896930763497e-05,7.801628536548938e-05,0.0001646917219651447,5.900772675732101e-05,0.00011819057821546556,0.00015905007999347985,3.130183048815918e-05,4.05839188831132e-05,0.00011936787626385664,0.00018865673733354138,3.283931297905872e-05,7.607339696082866e-05
